Username: has paid $:price: for the tour, :tourname
b1, has paid $450 for the tour, Louisette's Gonghe Tour
b1, has paid $450 for the tour, Evey's San Lorenzo Tour
n1, has paid $450 for the tour, Mace's Yuanqiao Tour
n2, has paid $450 for the tour, Francisca's Baldone Tour
n2, has paid $478 for the tour, Cyrille's Knoxville Tour
c1, has paid $774.08 for the tour, Francisca's Baldone Tour
c1, has paid $359.21  for the tour, Cilka's Moscow Tour
mrabson0,has paid $774.08 for the tour,Francisca's Baldone Tour
iwhitworth1,has paid $359.21 for the tour,Cilka's Moscow Tour
hjiruca2,has paid $738.86 for the tour,Liesa's Thomassique Tour
aeamer3,has paid $405.51 for the tour,Imogene's Savannah Tour
ychatteris4,has paid $211.48 for the tour,Phylis's Ochojno Tour
mschellig5,has paid $41.44 for the tour,Ashlen's Lindome Tour
mcuseck6,has paid $200.89 for the tour,Herve's Banjing Tour
tkaesmans7,has paid $962.49 for the tour,Robbie's Pergamino Tour
sayers8,has paid $501.69 for the tour,Avie's Slavuta Tour
kevenden9,has paid $136.95 for the tour,Priscella's Jonkowo Tour
cveldensa,has paid $103.02 for the tour,Faustina's Ansheng Tour
tanthonab,has paid $109.91 for the tour,Eamon's Fengyi Tour
zmuffordc,has paid $103.76 for the tour,Abe's Weiqi Tour
eclayald,has paid $100.08 for the tour,Lucina's Merefa Tour
cchristophersene,has paid $105.18 for the tour,Madelina's Capacho Nuevo Tour
emeadersf,has paid $107.76 for the tour,Francisca's Baldone Tour
wprimmerg,has paid $103.28 for the tour,Cilka's Moscow Tour
jloundsh,has paid $103.95 for the tour,Liesa's Thomassique Tour
dcullumi,has paid $103.72 for the tour,Imogene's Savannah Tour
smorrisseyj,has paid $103.95 for the tour,Phylis's Ochojno Tour
lscoffhamk,has paid $109.74 for the tour,Ashlen's Lindome Tour
fridsdalel,has paid $102.33 for the tour,Herve's Banjing Tour
gfoatm,has paid $108.81 for the tour,Robbie's Pergamino Tour
ksturdeyn,has paid $105.83 for the tour,Avie's Slavuta Tour
ksydneyo,has paid $101.90 for the tour,Priscella's Jonkowo Tour
emackenp,has paid $103.03 for the tour,Faustina's Ansheng Tour
ebloomfieldq,has paid $102.88 for the tour,Eamon's Fengyi Tour
ecrosfeldr,has paid $107.56 for the tour,Abe's Weiqi Tour
soddboys,has paid $103.62 for the tour,Lucina's Merefa Tour
sbluschket,has paid $107.12 for the tour,Madelina's Capacho Nuevo Tour
rdollardu,has paid $109.26 for the tour,Mace's Yuanqiao Tour
pmacnabv,has paid $104.28 for the tour,Evey's San Lorenzo Tour
tpighillsw,has paid $205.86 for the tour,Godart's Rakszawa Tour
dabramovicix,has paid $200.61 for the tour,Xylia's General Viamonte Tour
lmargaritelliy,has paid $206.19 for the tour,Pepillo's Shah Alam Tour
lthowz,has paid $203.59 for the tour,Zack's Xike Tour
yjannex10,has paid $205.21 for the tour,Hildegaard's Achanizo Tour
edawidman11,has paid $208.08 for the tour,Carla's Dian-ay Tour
cllop12,has paid $202.55 for the tour,Cyrille's Knoxville Tour
jberntsson13,has paid $205.29 for the tour,Link's Terney Tour
earbor14,has paid $207.82 for the tour,Yevette's Niigata-shi Tour
jdimitriades15,has paid $204.95 for the tour,Jesse's Okhtyrka Tour
ccasarili16,has paid $203.91 for the tour,Garek's Hägersten Tour
pzoren17,has paid $202.10 for the tour,Xenia's Paris La Défense Tour
jchat18,has paid $209.34 for the tour,Corette's Itápolis Tour
efutter19,has paid $205.01 for the tour,Dione's Balung Tour
gforsdyke1a,has paid $208.50 for the tour,Maximilian's Ribeira Tour
ucoleyshaw1b,has paid $204.98 for the tour,Jobina's Alcainça Tour
dbtham1c,has paid $204.86 for the tour,Christa's Pedro Betancourt Tour
abowman1d,has paid $208.59 for the tour,Alis's Ndofane Tour
mrabson0,has paid $202.48 for the tour,Gan's Olszówka Tour
iwhitworth1,has paid $204.83 for the tour,Matelda's Rybczewice Tour
hjiruca2,has paid $204.90 for the tour,Klarrisa's Braga Tour
aeamer3,has paid $203.17 for the tour,Allard's Ratchathewi Tour
ychatteris4,has paid $200.60 for the tour,Beilul's Kāmyārān Tour
mschellig5,has paid $209.22 for the tour,Nancee's Louveira Tour
mcuseck6,has paid $209.42 for the tour,Louisette's Gonghe Tour
tkaesmans7,has paid $207.67 for the tour,Betsey's Biograd na Moru Tour
